[2025-11-15 16:24:28] | 200 |     73.8942ms | 192.168.1.64    | GET    /assets/style.css | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 16:24:28] | 200 |     70.4567ms | 192.168.1.64    | GET    /assets/script.js | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 16:24:41] | 401 |    369.8895ms | 192.168.1.64    | POST   /api/auth/login | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 16:24:41] | 401 |    371.4255ms | 192.168.1.64    | POST   /api/auth/login | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 16:24:48] | 401 |    131.6022ms | 192.168.1.64    | POST   /api/auth/login | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 16:24:48] | 401 |    133.0167ms | 192.168.1.64    | POST   /api/auth/login | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 16:30:39] | 200 |            0s | 192.168.1.64    | GET    /login | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 16:30:40] | 200 |     80.4136ms | 192.168.1.64    | GET    /assets/style.css | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 16:30:40] | 200 |     75.8886ms | 192.168.1.64    | GET    /assets/script.js | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 16:30:55] | 401 |    298.3592ms | 192.168.1.64    | POST   /api/auth/login | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 16:30:55] | 401 |    298.8683ms | 192.168.1.64    | POST   /api/auth/login | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 16:42:45] | 200 |       590.4µs | 192.168.1.64    | GET    /login | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 16:42:45] | 200 |      81.265ms | 192.168.1.64    | GET    /assets/style.css | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 16:42:45] | 200 |     80.6605ms | 192.168.1.64    | GET    /assets/script.js | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 16:42:59] | 200 |            0s | 192.168.1.64    | GET    /login | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 16:42:59] | 200 |       827.9µs | 192.168.1.64    | GET    /assets/style.css | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 16:42:59] | 200 |       504.8µs | 192.168.1.64    | GET    /assets/script.js | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 16:44:16] | 401 |    645.1282ms | 192.168.1.64    | POST   /api/auth/login | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 16:44:16] | 401 |    646.4599ms | 192.168.1.64    | POST   /api/auth/login | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 16:53:18] | 200 |       593.4µs | 192.168.1.64    | GET    /login | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 16:53:18] | 200 |     70.3565ms | 192.168.1.64    | GET    /assets/style.css | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 16:53:18] | 200 |     67.7713ms | 192.168.1.64    | GET    /assets/script.js | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 16:53:22] | 200 |       573.3µs | 192.168.1.64    | GET    /register | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 16:55:37] | 200 |       555.1µs | 192.168.1.64    | GET    /register | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 16:55:37] | 200 |     68.6017ms | 192.168.1.64    | GET    /assets/style.css | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 16:55:37] | 200 |     65.2132ms | 192.168.1.64    | GET    /assets/script.js | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 16:55:38] | 200 |            0s | 192.168.1.64    | GET    /register | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
